sheet_id,kind,label,source_filename,crop_filename,year,method,instrument,crop_w,crop_h,frame_w,frame_h,frame_measured,cells,anchor,west,north,east,south,deg_per_px_x,deg_per_px_y,span_lon_arcmin,span_lat_arcmin
32-XXV-f,single,KK 083-04-01/085-04-10_022 - 05978 - 021,020_KK 083-04-01-085-04-10_022 - 05978 - 021.jpg,32-XXV-f.jpg,1933,aerial,luchtfoto,4354,4332,4340.7,4325.9,both,"1,1",cell,105.2240549,-2.0831584,105.3076436,-2.1666093,0.000019198,0.000019264,5.0153,5.0071
32-XXV-g,single,KK 083-04-01/085-04-10_023 - 05978 - 022,021_KK 083-04-01-085-04-10_023 - 05978 - 022.jpg,32-XXV-g.jpg,1933,aerial,luchtfoto,4354,4334,4342.1,4320.8,both,"2,1",cell,105.3073844,-2.0831063,105.3909462,-2.1666941,0.000019192,0.000019287,5.0137,5.0153
32-XXV-h,single,KK 083-04-01/085-04-10_024 - 05978 - 023,022_KK 083-04-01-085-04-10_024 - 05978 - 023.jpg,32-XXV-h.jpg,1932-1933,aerial,luchtfoto,4356,4326,4348.0,4321.7,both,"3,1",cell,105.3907620,-2.0831681,105.4742487,-2.1665842,0.000019166,0.000019282,5.0092,5.0050
33-XXIII-i,single,KK 083-04-01/085-04-10_025 - 05978 - 024,023_KK 083-04-01-085-04-10_025 - 05978 - 024.jpg,33-XXIII-i.jpg,1932-1933,aerial,luchtfoto,4352,4326,4342.6,4320.0,both,"4,-6",cell,105.4741413,-1.4998501,105.5576550,-1.5832990,0.000019190,0.000019290,5.0108,5.0069
33-XXIII-k,single,KK 083-04-01/085-04-10_026 - 05978 - 025,024_KK 083-04-01-085-04-10_026 - 05978 - 025.jpg,33-XXIII-k.jpg,1932-1933,aerial,luchtfoto,4356,4324,4340.4,4319.1,both,"5,-6",cell,105.5573095,-1.4998366,105.6409424,-1.5832644,0.000019199,0.000019294,5.0180,5.0057
33-XXIII-l,single,KK 083-04-01/085-04-10_027 - 05978 - 026,025_KK 083-04-01-085-04-10_027 - 05978 - 026.jpg,33-XXIII-l.jpg,1932-1933,aerial,luchtfoto,4342,4326,4332.6,4316.1,width,"6,-6",cell,105.6408021,-1.4996878,105.7243163,-1.5832123,0.000019234,0.000019308,5.0108,5.0115
33-XXIII-m,single,KK 083-04-01/085-04-10_028 - 05978 - 027,026_KK 083-04-01-085-04-10_028 - 05978 - 027.jpg,33-XXIII-m.jpg,1931-1933,aerial,luchtfoto,4344,4322,4337.1,4316.0,height,"7,-6",cell,105.7241643,-1.4998038,105.8076302,-1.5832528,0.000019214,0.000019308,5.0080,5.0069
33-XXIII-n,single,KK 083-04-01/085-04-10_029 - 05978 - 028,027_KK 083-04-01-085-04-10_029 - 05978 - 028.jpg,33-XXIII-n.jpg,1932-1933,aerial,luchtfoto,4352,4324,4344.1,4311.9,both,"4,-5",cell,105.4741183,-1.5830621,105.5576032,-1.6666285,0.000019183,0.000019326,5.0091,5.0140
33-XXIII-o,single,KK 083-04-01/085-04-10_030 - 05978 - 029,028_KK 083-04-01-085-04-10_030 - 05978 - 029.jpg,33-XXIII-o.jpg,1932-1933,aerial,luchtfoto,4350,4326,4340.9,4320.2,both,"5,-5",cell,105.5574458,-1.5831834,105.6409539,-1.6666286,0.000019197,0.000019289,5.0105,5.0067
33-XXIII-p,single,KK 083-04-01/085-04-10_031 - 05978 - 030,029_KK 083-04-01-085-04-10_031 - 05978 - 030.jpg,33-XXIII-p.jpg,1932-1933,aerial,luchtfoto,4354,4326,4343.5,4322.1,both,"6,-5",cell,105.6407830,-1.5831950,105.7243178,-1.6666035,0.000019186,0.000019281,5.0121,5.0045
33-XXIII-q,single,KK 083-04-01/085-04-10_032 - 05978 - 031,030_KK 083-04-01-085-04-10_032 - 05978 - 031.jpg,33-XXIII-q.jpg,1932-1933,aerial,luchtfoto,4352,4342,4344.0,4326.3,both,"7,-5",cell,105.7240876,-1.5830910,105.8075744,-1.6667267,0.000019184,0.000019262,5.0092,5.0181
33-XXIV-a,single,KK 083-04-01/085-04-10_033 - 05978 - 032,031_KK 083-04-01-085-04-10_033 - 05978 - 032.jpg,33-XXIV-a.jpg,1933-1934,aerial,luchtfoto,4356,4340,4345.0,4325.5,both,"4,-4",cell,105.4740588,-1.6664436,105.5576032,-1.7500562,0.000019179,0.000019266,5.0127,5.0168
33-XXIV-b,single,KK 083-04-01/085-04-10_034 - 05978 - 033,032_KK 083-04-01-085-04-10_034 - 05978 - 033.jpg,33-XXIV-b.jpg,1933-1934,aerial,luchtfoto,4358,4336,4346.0,4327.3,both,"5,-4",cell,105.5574229,-1.6664706,105.6409863,-1.7499714,0.000019175,0.000019258,5.0138,5.0101
33-XXIV-c,single,KK 083-04-01/085-04-10_035 - 05978 - 034,033_KK 083-04-01-085-04-10_035 - 05978 - 034.jpg,33-XXIV-c.jpg,1933,aerial,luchtfoto,4348,4340,4343.1,4326.4,both,"6,-4",cell,105.6408156,-1.6663414,105.7242430,-1.7499368,0.000019188,0.000019262,5.0056,5.0157
33-XXIV-d,single,KK 083-04-01/085-04-10_036 - 05978 - 035,034_KK 083-04-01-085-04-10_036 - 05978 - 035.jpg,33-XXIV-d.jpg,1934,aerial,luchtfoto,4358,4336,4348.2,4325.7,both,"7,-4",cell,105.7241068,-1.6664341,105.8076280,-1.7499656,0.000019165,0.000019265,5.0113,5.0119
33-XXIV-e,single,KK 083-04-01/085-04-10_037 - 05978 - 036,035_KK 083-04-01-085-04-10_037 - 05978 - 036.jpg,33-XXIV-e.jpg,1933-1934,aerial,luchtfoto,4356,4332,4342.7,4324.7,both,"4,-3",cell,105.4739782,-1.7498039,105.5575667,-1.8332778,0.000019189,0.000019269,5.0153,5.0084
33-XXIV-f,single,KK 083-04-01/085-04-10_038 - 05978 - 037,036_KK 083-04-01-085-04-10_038 - 05978 - 037.jpg,33-XXIV-f.jpg,1933-1934,aerial,luchtfoto,4350,4338,4344.2,4322.2,both,"5,-3",cell,105.5574804,-1.7496440,105.6409250,-1.8332817,0.000019183,0.000019280,5.0067,5.0183
33-XXIV-g,single,KK 083-04-01/085-04-10_039 - 05978 - 038,037_KK 083-04-01-085-04-10_039 - 05978 - 038.jpg,33-XXIV-g.jpg,1933-1934,aerial,luchtfoto,4342,4334,4334.8,4320.4,both,"6,-3",cell,105.6407829,-1.7497169,105.7242547,-1.8333127,0.000019224,0.000019288,5.0083,5.0158
33-XXIV-h,single,KK 083-04-01/085-04-10_040 - 05978 - 039,038_KK 083-04-01-085-04-10_040 - 05978 - 039.jpg,33-XXIV-h.jpg,1934,aerial,luchtfoto,4346,4332,4341.1,4324.8,both,"7,-3",cell,105.7241317,-1.7498058,105.8075591,-1.8332779,0.000019196,0.000019269,5.0056,5.0083
33-XXIV-i,single,KK 083-04-01/085-04-10_041 - 05978 - 040,039_KK 083-04-01-085-04-10_041 - 05978 - 040.jpg,33-XXIV-i.jpg,1934,aerial,luchtfoto,4364,4338,4347.0,4323.4,both,"4,-2",cell,105.4740646,-1.8330853,105.5577239,-1.9166997,0.000019170,0.000019275,5.0196,5.0169
33-XXIV-k,single,KK 083-04-01/085-04-10_042 - 05978 - 041,040_KK 083-04-01-085-04-10_042 - 05978 - 041.jpg,33-XXIV-k.jpg,1934,aerial,luchtfoto,4346,4336,4338.8,4323.7,height,"5,-2",cell,105.5574977,-1.8330928,105.6409693,-1.9166633,0.000019207,0.000019274,5.0083,5.0142
33-XXIV-l,single,KK 083-04-01/085-04-10_043 - 05978 - 042,041_KK 083-04-01-085-04-10_043 - 05978 - 042.jpg,33-XXIV-l.jpg,1934,aerial,luchtfoto,4348,4334,4332.7,4321.7,both,"6,-2",cell,105.6406079,-1.8331351,105.7242355,-1.9167060,0.000019234,0.000019283,5.0177,5.0143
33-XXIV-m,single,KK 083-04-01/085-04-10_044 - 05978 - 043,042_KK 083-04-01-085-04-10_044 - 05978 - 043.jpg,33-XXIV-m.jpg,1934,aerial,luchtfoto,4358,4334,4341.7,4324.8,height,"7,-2",cell,105.7241643,-1.8331006,105.8078105,-1.9166112,0.000019194,0.000019269,5.0188,5.0106
33-XXIV-n,single,KK 083-04-01/085-04-10_045 - 05978 - 044,043_KK 083-04-01-085-04-10_045 - 05978 - 044.jpg,33-XXIV-n.jpg,1934,aerial,luchtfoto,4338,4328,4328.1,4322.8,both,"4,-1",cell,105.4741355,-1.9165205,105.5576594,-1.9999544,0.000019254,0.000019278,5.0114,5.0060
33-XXIV-o,single,KK 083-04-01/085-04-10_046 - 05978 - 045,044_KK 083-04-01-085-04-10_046 - 05978 - 045.jpg,33-XXIV-o.jpg,1934,aerial,luchtfoto,4358,4336,4348.1,4320.6,height,"5,-1",cell,105.5574977,-1.9163128,105.6410207,-1.9999425,0.000019165,0.000019287,5.0114,5.0178
33-XXIV-p,single,KK 083-04-01/085-04-10_047 - 05978 - 046,045_KK 083-04-01-085-04-10_047 - 05978 - 046.jpg,33-XXIV-p.jpg,1934,aerial,luchtfoto,4354,4338,4344.6,4321.1,both,"6,-1",cell,105.6408022,-1.9163126,105.7243159,-1.9999714,0.000019181,0.000019285,5.0108,5.0195
33-XXIV-q,single,KK 083-04-01/085-04-10_048 - 05978 - 047,046_KK 083-04-01-085-04-10_048 - 05978 - 047.jpg,33-XXIV-q.jpg,1934,aerial,luchtfoto,4342,4332,4335.7,4321.8,height,"7,-1",cell,105.7241643,-1.9165032,105.8076188,-2.0000334,0.000019220,0.000019282,5.0073,5.0118
33-XXV-ae,composite,KK 083-04-01/085-04-10_049 - 05978 - 048,047_KK 083-04-01-085-04-10_049 - 05978 - 048.jpg,33-XXV-ae.jpg,1932-1933,aerial,luchtfoto,4348,5268,4335.7,5248.7,both,"4,0;4,1",top,105.4741374,-1.9996281,105.5577072,-2.1012973,0.000019220,0.000019299,5.0142,6.1002
33-XXV-b,single,KK 083-04-01/085-04-10_050 - 05978 - 049,048_KK 083-04-01-085-04-10_050 - 05978 - 049.jpg,33-XXV-b.jpg,1929-1930,terrestrial,bergboussole,4356,4328,4338.5,4322.3,both,"5,0",cell,105.5572749,-1.9998559,105.6409443,-2.0832991,0.000019208,0.000019280,5.0202,5.0066
